ID,Item title,Final URL,Image URL,Price,Sale price
CT3839_002_4Y_CNF,Air force 1 gs,http://ballzy.eu/lv/product/air-force-1-gs-ct3839-002-4y-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_CT3839_002_4Y_CNF_e3d063ef_sq.jpg,78€,78€
BV5635_010_S_CNF,M np short,http://ballzy.eu/lv/product/m-np-short-bv5635-010-s-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_BV5635_010_S_CNF_16a8ab67_sq.jpg,19€,19€
VN000D3HY281_050_CNF,Ua old skool,http://ballzy.eu/lv/product/ua-old-skool-vn000d3hy281-050-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_VN000D3HY281_050_CNF_e78cd62f_sq.jpg,69€,69€
6446R_RED_S_CNF,Mcd extended leg sleeves,http://ballzy.eu/lv/product/mcd-extended-leg-sleeves-6446r-red-s-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_6446R_RED_S_CNF_8d88749d_sq.jpg,19€,19€
SX4863_101_S_CNF,W nk evry ltwt foot 3pr,http://ballzy.eu/lv/product/w-nk-evry-ltwt-foot-3pr-sx4863-101-s-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_SX4863_101_S_CNF_470f92a5_sq.jpg,12€,12€
SX7667_010_S_CNF,U nk everyday cush ankle 3pr,http://ballzy.eu/lv/product/u-nk-everyday-cush-ankle-3pr-sx7667-010-s-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_SX7667_010_S_CNF_03cc72e0_sq.jpg,15€,15€
60141896_M_CNF,Wmns pop colour tapered bucket,http://ballzy.eu/lv/product/wmns-pop-colour-tapered-bucket-60141896-m-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_60141896_M_CNF_283e901b_sq.jpg,9€,9€
DA5718_100_S_CNF,U jordan essential crew 3pr,http://ballzy.eu/lv/product/u-j-essential-crew-3pr-144-da5718-100-s-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_DA5718_100_S_CNF_9cb7bf10_sq.jpg,19€,
VN000EYEBWW1_040_CNF,Ua classic slip-on,http://ballzy.eu/lv/product/ua-classic-slip-on-vn000eyebww1-040-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_VN000EYEBWW1_040_CNF_cc1c4bef_sq.jpg,49€,49€
10021138_A01_MISC_CNF,Straight edge,http://ballzy.eu/lv/product/straight-edge-10021138-a01-misc-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_10021138_A01_MISC_CNF_7d53a8c8_sq.jpg,39€,39€
DK0A4XP3BLK1_L_CNF,Alatna,http://ballzy.eu/lv/product/alatna-dk0a4xp3blk1-l-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_DK0A4XP3BLK1_L_CNF_7f743c1e_sq.jpg,123.20€,123.20€
80468932_OSFA_CNF,Mlb league ess 940 yankees,http://ballzy.eu/lv/product/mlb-league-ess-940-yankees-80468932-osfa-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_80468932_OSFA_CNF_638cb7d5_sq.jpg,19€,19€
VN0A5I111KP1_090_CNF,Ua sk8-hi gore-tex mte-3,http://ballzy.eu/lv/product/ua-sk8-hi-gore-tex-mte-3-vn0a5i111kp1-090-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_VN0A5I111KP1_090_CNF_0c8c7e96_sq.jpg,99€,99€
11180834_SM_CNF,Mlb 9fifty yankees,http://ballzy.eu/lv/product/mlb-9fifty-yankees-11180834-sm-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_11180834_SM_CNF_8e9dd108_sq.jpg,19€,19€
DD1917_010_S_CNF,M np df short,http://ballzy.eu/lv/product/m-np-df-short-dd1917-010-s-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_DD1917_010_S_CNF_069834e5_sq.jpg,24€,24€
DD1917_068_S_CNF,M np df short,http://ballzy.eu/lv/product/m-np-df-short-dd1917-068-s-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_DD1917_068_S_CNF_4df1fc67_sq.jpg,24€,24€
DD1917_100_S_CNF,M np df short,http://ballzy.eu/lv/product/m-np-df-short-dd1917-100-s-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_DD1917_100_S_CNF_674b8766_sq.jpg,23€,23€
DD6606_010_S_CNF,M nsw sfadv tp 3in1 parka,http://ballzy.eu/lv/product/m-nsw-sfadv-tp-3in1-parka-dd6606-010-s-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_DD6606_010_S_CNF_182ccf2a_sq.jpg,249€,249€
DD1919_010_S_CNF,M np df 3qt tight,http://ballzy.eu/lv/product/m-np-df-3qt-tight-dd1919-010-s-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_DD1919_010_S_CNF_c528ed1b_sq.jpg,39€,
DD1990_100_S_CNF,M np df tight top ls,http://ballzy.eu/lv/product/m-np-df-tight-top-ls-dd1990-100-s-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_DD1990_100_S_CNF_3397c1c3_sq.jpg,24€,24€
DH5485_601_S_CNF,U nk everyday ankle 1pk - 144,http://ballzy.eu/lv/product/u-nk-everyday-ankle-1pk-144-dh5485-601-s-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_DH5485_601_S_CNF_56f86766_sq.jpg,7€,7€
DH5485_010_S_CNF,U nk everyday ankle 1pk - 144,http://ballzy.eu/lv/product/u-nk-everyday-ankle-1pk-144-dh5485-010-s-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_DH5485_010_S_CNF_68e769c8_sq.jpg,7€,7€
DH8010_100_6_CNF,Wmns air max 90,http://ballzy.eu/lv/product/wmns-air-max-90-dh8010-100-6-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_DH8010_100_6_CNF_ef99ff57_sq.jpg,79€,79€
DN3314_010_S_CNF,U nk evryday plus cush footie,http://ballzy.eu/lv/product/u-nk-evryday-plus-cush-footie-dn3314-010-s-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_DN3314_010_S_CNF_824d943c_sq.jpg,19€,
DN3314_100_S_CNF,U nk evryday plus cush footie,http://ballzy.eu/lv/product/u-nk-evryday-plus-cush-footie-dn3314-100-s-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_DN3314_100_S_CNF_84a1378b_sq.jpg,19€,
SX7669_100_S_CNF,U nk everyday csh ankl 6pr 132,http://ballzy.eu/lv/product/u-nk-everyday-csh-ankl-6pr-132-sx7669-100-s-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_SX7669_100_S_CNF_c6a0b51c_sq.jpg,19€,
DK0A4XDAWHX1_XS_CNF,Ss mapleton t-shirt w,http://ballzy.eu/lv/product/ss-mapleton-t-shirt-w-dk0a4xdawhx1-xs-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_DK0A4XDAWHX1_XS_CNF_9397e5f9_sq.jpg,14€,14€
VN000D3HBKA1_130_CNF,Ua old skool,http://ballzy.eu/lv/product/ua-old-skool-vn000d3hbka1-130-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_VN000D3HBKA1_130_CNF_47e71c57_sq.jpg,69€,69€
DX5074_010_M_CNF,U nk nsw everyday essential an,http://ballzy.eu/lv/product/u-nk-nsw-everyday-essential-an-dx5074-010-m-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_DX5074_010_M_CNF_a1b07d3a_sq.jpg,19€,
